"Show keyword";"Prompt"
"amelia_dorm_morning";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, waking up in her dorm room in the morning. The room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she starts her day."
"amelia_studying_library";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"sophia_approaches_library";"Sophia, an 18-year-old girl with olive skin and short curly black hair, approaching Amelia's desk in the library. Amelia has fair skin, long brown hair, and blue eyes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sophia's tentative expression and Amelia's focused environment."
"amelia_sophia_working";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting with Sophia, an 18-year-old girl with olive skin and short curly black hair, at a desk in the library. They are working together on a project. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their collaborative effort and focused expressions."
"sophia_smiling_library";"Sophia, an 18-year-old girl with olive skin and short curly black hair, smiling at Amelia in the library. Amelia has fair skin, long brown hair, and blue eyes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sophia's appreciative expression and the warm atmosphere."
"amelia_focused_library";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting alone at a desk in the library, deeply focused on her work. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's intense concentration and the academic environment."
"amelia_dorm_afternoon";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in her dorm room in the afternoon. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she takes a break."
"amelia_walking_campus";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, walking around the Plymouth University campus. The campus is vibrant with students walking around, buildings in the background, and a sunny sky. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she takes a walk."
"amelia_at_hoe_park";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, standing in Hoe Park, taking in the fresh air and beautiful scenery. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's relaxed expression and the serene environment."
"tasha_confronting";"An 18-year-old girl named Tasha, with dark skin and long black hair, confronting Amelia in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's confrontational expression and the tense atmosphere."
"amelia_determined_tasha";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking determined while confronting Tasha in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's resolute expression and the tense atmosphere."
"tasha_surprised";"An 18-year-old girl named Tasha, with dark skin and long black hair, looking surprised while confronting Amelia in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's surprised expression and the tense atmosphere."
"amelia_calm_tasha";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking calm while trying to defuse a situation with Tasha in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's serene expression and the tense atmosphere."
"tasha_indifferent";"An 18-year-old girl named Tasha, with dark skin and long black hair, looking indifferent while confronting Amelia in Hoe Park. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Tasha's indifferent expression and the tense atmosphere."
"michael_introducing";"An 18-year-old boy named Michael, with medium brown skin and short black hair, introducing himself to Amelia in Hoe Park. Michael is handing out flyers. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Michael's friendly expression and the serene environment."
"amelia_michael_protest";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, joining a protest with Michael in Hoe Park. Michael has medium brown skin and short black hair. The park is filled with greenery, flowers, and a peaceful atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their determined expressions and the activist atmosphere."
