chapter,character,line_number,text_preview,voice_file
"chapter_1","Centered",26,"Chapter One\n\nThe Ordinary World",""
"chapter_1","Narrator",42,"A park bench in Bromley. Nothing special. The same one she's","audio/narrator/chapter_1/line_002_L40.ogg"
"chapter_1","Narrator",45,"She's doing the same thing now, more or less. Except the lib","audio/narrator/chapter_1/line_003_L42.ogg"
"chapter_1","Narrator",47,"Two days. Two days until I leave.",""
"chapter_1","Narrator",50,"Amelia pushes her hair behind her ear — a tic she'll never q","audio/narrator/chapter_1/line_004_L46.ogg"
"chapter_1","Narrator",52,"Right. Focus. If I'm going to show up to a psychology degree",""
"chapter_1","Narrator",55,"She turns a page. Reads the same paragraph for the third tim","audio/narrator/chapter_1/line_005_L50.ogg"
"chapter_1","Narrator",58,"The trees in the park are just beginning to turn. Green-gold","audio/narrator/chapter_1/line_006_L52.ogg"
"chapter_1","Narrator",62,"What catches her attention in the book?",""
"chapter_1","Narrator",68,"System 1 and System 2. Fast thinking and slow thinking. I li",""
"chapter_1","Narrator",70,"She underlines a sentence about anchoring bias. Then underli",""
"chapter_1","Narrator",72,"I want to understand how minds work. Not just in theory — pr",""
"chapter_1","Narrator",74,"A dog barks somewhere across the park. A child laughs. Ameli",""
"chapter_1","Narrator",80,"It's not even on the reading list. She found it in a charity",""
"chapter_1","Narrator",82,"Jung says the unconscious speaks in symbols. In dreams. That",""
"chapter_1","Narrator",84,"She traces her thumb across a mandala illustration. Concentr",""
"chapter_1","Narrator",86,"I want to understand what dreams mean. What it means when yo",""
"chapter_1","Narrator",88,"She turns the page. Someone has written in the margin: Pay a",""
"chapter_1","Narrator",94,"She's not sure why she bought this. It was in the 'Spiritual",""
"chapter_1","Narrator",96,"Bardos. Transitional states. The Tibetans say life itself is",""
"chapter_1","Narrator",98,"The paragraph she keeps returning to describes the moment of",""
"chapter_1","Narrator",100,"I picked this up and I couldn't put it down. I don't know wh",""
"chapter_1","Narrator",102,"A cloud passes over the sun. The amber light dims to grey fo",""
"chapter_1","Narrator",105,"She closes the book and checks her phone. Three missed texts","audio/narrator/chapter_1/line_007_L98.ogg"
"chapter_1","Narrator",117,"She picks up.","audio/narrator/chapter_1/line_009_L108.ogg"
"chapter_1","Ella",119,"Finally! Did you die? You literally haven't replied in four ",""
"chapter_1","Amelia",121,"I was reading.",""
"chapter_1","Ella",123,"You've been reading since May. At some point you're going to",""
"chapter_1","Narrator",126,"Amelia smiles. This is how Ella talks — in lists and accusat","audio/narrator/chapter_1/line_010_L116.ogg"
"chapter_1","Ella",128,"Anyway. Two days.",""
"chapter_1","Amelia",130,"Two days.",""
"chapter_1","Ella",132,"That's... mental, isn't it? Like, actually properly mental.",""
"chapter_1","Narrator",135,"A pause. Just long enough that Amelia hears what Ella isn't ","audio/narrator/chapter_1/line_011_L124.ogg"
"chapter_1","Ella",137,"You're going to be so far away.",""
"chapter_1","Narrator",140,"She says it lightly. But Ella's voice has that thing it does","audio/narrator/chapter_1/line_012_L128.ogg"
