"Show keyword";"prompt"
"amelia_campus_exterior";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, standing outside on the Plymouth University campus. The campus is vibrant with students walking around, buildings in the background, and a sunny sky. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she faces new challenges and opportunities."
"amelia_studying_library";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"lucas_union";"An 18-year-old boy named Lucas, with fair skin and short brown hair, standing in the student union. The student union is lively with students talking and hanging out. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's friendly and concerned expression as he talks to Amelia."
"amelia_tired_union";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking tired while standing in the student union. The student union is lively with students talking and hanging out. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's exhausted expression as she talks to Lucas."
"cafe_interior";"A cozy campus café interior with students sitting at tables, drinking coffee, and chatting. The café has warm lighting, comfortable seating, and a welcoming atmosphere. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the relaxed and inviting environment."
"amelia_lucas_chatting_cafe";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a table in the campus café, chatting with Lucas. Lucas has fair skin and short brown hair. The café is cozy with warm lighting and comfortable seating. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their friendly conversation and the relaxed atmosphere."
"lucas_interested_cafe";"An 18-year-old boy named Lucas, with fair skin and short brown hair, looking interested while sitting at a table in the campus café. The café is cozy with warm lighting and comfortable seating. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's attentive expression as he listens to Amelia."
"study_group_library";"A group of students sitting at a large table in the library, discussing and studying together. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the collaborative and focused atmosphere of the study group."
"amelia_study_group_discussion";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, actively participating in a study group discussion in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's engaged expression and the collaborative atmosphere."
"raj_study_group";"An 18-year-old boy named Raj, with medium brown skin and short black hair, participating in a study group in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Raj's thoughtful expression as he contributes to the discussion."
"amelia_smiling_study_group";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, smiling while participating in a study group in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's cheerful expression and the collaborative atmosphere."
"amelia_tired_studying";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking tired while studying at a desk in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's exhausted expression and the focused atmosphere."
"professor_hawthorne_library";"Prof. Hawthorne, in his mid-40s with graying hair and glasses, talking to Amelia in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's thoughtful expression as he gives advice to Amelia."
"amelia_dorm_evening";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in her dorm room in the evening. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she reflects on her day."
"amelia_pensive_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking pensive while sitting in her dorm room. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's introspective expression as she contemplates her challenges."
"professor_hawthorne_office";"Prof. Hawthorne, in his mid-40s with graying hair and glasses, sitting in his office. The office is filled with books, papers, and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's thoughtful expression as he listens to Amelia."
"amelia_prof_hawthorne_talking";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Prof. Hawthorne in his office. The office is filled with books, papers, and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the supportive atmosphere."
"professor_thoughtful";"Prof. Hawthorne, in his mid-40s with graying hair and glasses, looking thoughtful in his office. The office is filled with books, papers, and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's contemplative expression as he gives advice."
"amelia_relieved";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking relieved while talking to Prof. Hawthorne in his office. The office is filled with books, papers, and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's relieved expression and the supportive atmosphere."
"amelia_sarah_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Sarah in her dorm room. Sarah has fair skin, middle-length blond hair, and blue eyes. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the supportive atmosphere."
"sarah_smiling_dorm";"Sarah, with fair skin, middle-length blond hair, and blue eyes, smiling while talking to Amelia in her dorm room. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sarah's cheerful expression and the supportive atmosphere."
"sarah_thoughtful";"Sarah, with fair skin, middle-length blond hair, and blue eyes, looking thoughtful while talking to Amelia in her dorm room. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sarah's contemplative expression as she gives advice."
"amelia_sarah_hug";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, hugging Sarah in her dorm room. Sarah has fair skin, middle-length blond hair, and blue eyes. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their supportive embrace and the comforting atmosphere."
"amelia_maya_garden";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Maya in the university garden. Maya has medium brown skin and curly hair. The garden is peaceful with greenery and flowers. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the serene atmosphere."
"maya_smiling_garden";"Maya, with medium brown skin and curly hair, smiling while talking to Amelia in the university garden. The garden is peaceful with greenery and flowers. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Maya's cheerful expression and the serene atmosphere."
"maya_thoughtful";"Maya, with medium brown skin and curly hair, looking thoughtful while talking to Amelia in the university garden. The garden is peaceful with greenery and flowers. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Maya's contemplative expression as she gives advice."
"amelia_maya_meditation";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, meditating with Maya in the university garden. Maya has medium brown skin and curly hair. The garden is peaceful with greenery and flowers. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their serene meditation and the tranquil atmosphere."
"amelia_dorm_night";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting in her dorm room at night. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's thoughtful expression as she reflects on her day and prepares for bed."
"amelia_campus_morning";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, walking on the Plymouth University campus in the morning. The campus is vibrant with students walking around, buildings in the background, and a sunny sky. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's determined expression as she faces a new day."
"lecture_hall";"A busy lecture hall filled with students listening to a professor at the front. The hall has rows of seats, a large blackboard, and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the engaged atmosphere of the lecture."
"professor_lecturing";"A professor, in their mid-40s with graying hair and glasses, lecturing in front of a class. The lecture hall has rows of seats, a large blackboard, and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's engaged expression and the attentive atmosphere."
"amelia_raised_hand";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, raising her hand to ask a question during a lecture. The lecture hall is filled with students, and the professor is at the front. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's curious expression and the engaged atmosphere."
"professor_nodding";"A professor, in their mid-40s with graying hair and glasses, nodding in response to a student's question during a lecture. The lecture hall has rows of seats, a large blackboard, and academic decor. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing the professor's thoughtful expression and the engaged atmosphere."
"amelia_library";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"sophia_studying";"An 18-year-old girl named Sophia, with fair skin and short black hair, sitting at a desk in the library, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sophia's focused expression as she studies diligently."
"amelia_smiling_sophia";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, smiling while talking to Sophia in the library. Sophia has fair skin and short black hair. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's cheerful expression and their friendly conversation."
"sophia_smiling";"An 18-year-old girl named Sophia, with fair skin and short black hair, smiling while talking to Amelia in the library. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Sophia's cheerful expression and their friendly conversation."
"amelia_determined_sophia";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking determined while talking to Sophia in the library. Sophia has fair skin and short black hair. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's resolute expression and their competitive conversation."
"amelia_library_night";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in the library at night, surrounded by books and notes. The library is quiet and filled with shelves of books. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"amelia_lucas_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, talking to Lucas in her dorm room. Lucas has fair skin and short brown hair. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing their engaged conversation and the supportive atmosphere."
"lucas_smiling_dorm";"An 18-year-old boy named Lucas, with fair skin and short brown hair, smiling while talking to Amelia in her dorm room. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's cheerful expression and the supportive atmosphere."
"lucas_thoughtful";"An 18-year-old boy named Lucas, with fair skin and short brown hair, looking thoughtful while talking to Amelia in her dorm room. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Lucas's contemplative expression as he gives advice."
"amelia_studying_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, sitting at a desk in her dorm room, surrounded by books and notes. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's focused expression as she studies diligently."
"amelia_tired_dorm";"An 18-year-old girl named Amelia, with fair skin, long brown hair, and blue eyes, looking tired while sitting at a desk in her dorm room. The dorm room is cozy with personal items like photos, books, and soft lighting. The scene is depicted in a semi-realistic art style. The image is in a 16:9 format, capturing Amelia's exhausted expression as she studies."
