show keyword,prompt,environment,lighting,characters in scene,action in scene,Character,Eye color,Hair style,Hair color,Age,Complexion
amelia_bedroom_morning,"A digital art style image of a cozy bedroom with books and personal items. The morning sunlight streams through a window. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is waking up and feeling excited.","Cozy bedroom with books and personal items","Morning sunlight streaming through a window","Amelia","Amelia waking up and feeling excited","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_bedroom_closeup,"A digital art style image of a close-up view of a study desk with stationery and books in a cozy bedroom. The morning sunlight is streaming in. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is looking at her desk with determination.","Close-up view of a study desk with stationery and books","Morning sunlight","Amelia","Amelia looking at her desk with determination","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_bedroom_books,"A digital art style image focusing on a bookshelf filled with psychology books and notebooks in a cozy bedroom. The morning sunlight is streaming in. The scene is focused on the bookshelf and books.","Bookshelf filled with psychology books and notebooks","Morning sunlight","None","Focus on bookshelf and books","None","","","","",""
amelia_highschool,"A digital art style image of a high school hallway with lockers. The scene is well-lit with bright lighting and no students present, focusing on the environment.","High school hallway with lockers","Bright lighting","None","Focus on the environment","None","","","","",""
amelia_highschool_classroom,"A digital art style image of a high school classroom with desks and a blackboard. The classroom is well-lit with natural light. Students are sitting at their desks, taking notes.","High school classroom with desks and blackboard","Well-lit with natural light","Students","Students sitting and taking notes","None","","","","",""
amelia_highschool_courtyard,"A digital art style image of a high school courtyard with trees and a fountain. The scene is serene with natural light and no students present, focusing on the peaceful environment.","High school courtyard with trees and fountain","Serene natural light","None","Focus on the peaceful environment","None","","","","",""
amelia_family_living_room,"A digital art style image of a cozy living room with comfortable furniture and family photos on the wall. Natural light streams through a window. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is talking to her parents.","Cozy living room with comfortable furniture and family photos","Natural light from a window","Amelia and her parents","Amelia and her parents talking","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_family_breakfast,"A digital art style image of a cozy kitchen with a table set for breakfast. Warm lighting from natural light streaming through a window. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is having breakfast with her parents.","Cozy kitchen with a table set for breakfast","Warm lighting with natural light from a window","Amelia and her parents","Amelia and her parents having breakfast","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_breakfast_table,"A digital art style image of a close-up view of a breakfast table set with food and drinks. Warm lighting fills the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is discussing her future with her parents.","Close-up view of the breakfast table with food and drinks","Warm lighting","Amelia and her parents","Amelia and her parents discussing her future","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_hugging_parents,"A digital art style image of Amelia hugging her parents in a cozy living room. Natural light streams through a window. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is showing gratitude to her proud and supportive parents.","Cozy living room with comfortable furniture and family photos","Natural light from a window","Amelia and her parents","Amelia hugging her parents with gratitude","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_day,"A digital art style image of a park with greenery and walking paths. The daylight illuminates the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is walking in the park.","Park with greenery and walking paths","Daylight","Amelia","Amelia walking in the park","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_entrance,"A digital art style image of the entrance to a park with trees and a path. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is entering the park.","Park entrance with trees and path","Daylight","Amelia","Amelia entering the park","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_bench,"A digital art style image of a bench in a park surrounded by trees and flowers. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is sitting on the bench.","Bench in a park surrounded by trees and flowers","Daylight","Amelia","Amelia sitting on the bench","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_future,"A digital art style image of a bench in a park surrounded by trees and flowers. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is reflecting on her future.","Bench in a park surrounded by trees and flowers","Daylight","Amelia","Amelia reflecting on her future","Amelia","Brown","Long and wavy","Brown","18","Fair"
amelia_park_future2,"A digital art style image of a bench in a park surrounded by trees and flowers. The daylight brightens the scene. Amelia, an 18-year-old girl with brown eyes, long wavy brown hair, and a fair complexion, is feeling nervous about the unknown.","Bench in a park surrounded by trees and flowers","Daylight","Amelia","Amelia feeling nervous about the unknown","Amelia","Brown","Long and wavy","Brown","18","Fair"
