chapter;show keyword;characters;environment;artstyle;ai prompt;prompt format template
3_refusal_of_the_call.rpy;show amelia_determined_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia determined in her dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] determined in her dorm room. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_thinking_dorm_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, desk with books, bed neatly made);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia thinking in her dorm room. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room is cozy with posters on the walls, a desk with books, and a neatly made bed. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] thinking in her dorm room. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_studying_library_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Library (quiet, shelves filled with books, study tables);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia studying in the library. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The library is quiet with shelves filled with books and study tables. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] studying in the library. They are wearing [clothes]. The library has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_raised_hand_classroom_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Classroom (students seated, professor at the front, whiteboard);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia raising her hand in the classroom. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The classroom has students seated, a professor at the front, and a whiteboard. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] raising her hand in the classroom. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show professor_impressed_classroom_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Professor (middle-aged, fair skin, short grey hair, wearing a suit);Classroom (students seated, professor at the front, whiteboard);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia impressing her professor in the classroom. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The professor is middle-aged with fair skin, short grey hair, and wearing a suit. The classroom has students seated, a professor at the front, and a whiteboard. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] impressing her professor in the classroom. The professor is [professor description]. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show professor_neutral_classroom_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Professor (middle-aged, fair skin, short grey hair, wearing a suit);Classroom (students seated, professor at the front, whiteboard);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia receiving neutral feedback from her professor in the classroom. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The professor is middle-aged with fair skin, short grey hair, and wearing a suit. The classroom has students seated, a professor at the front, and a whiteboard. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] receiving neutral feedback from her professor in the classroom. The professor is [professor description]. They are wearing [clothes]. The classroom has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_exploring_barbican_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Barbican (historic area, cobblestone streets, shops, and cafes);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia exploring the Barbican area. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The Barbican is a historic area with cobblestone streets, shops, and cafes. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] exploring the Barbican area. They are wearing [clothes]. The Barbican has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_chatting_student_union_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Other students;Student Union (social area, tables and chairs, posters on walls);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia chatting with other students at the Student Union. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The Student Union is a social area with tables and chairs, and posters on the walls. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] chatting with other students at the Student Union. Other students are [student descriptions]. They are wearing [clothes]. The Student Union has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_laughing_student_union_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Other students;Student Union (social area, tables and chairs, posters on walls);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia laughing with other students at the Student Union. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The Student Union is a social area with tables and chairs, and posters on the walls. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] laughing with other students at the Student Union. Other students are [student descriptions]. They are wearing [clothes]. The Student Union has [environment details]. [Artstyle] art style.
3_refusal_of_the_call.rpy;show amelia_overwhelmed_student_union_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Student Union (social area, tables and chairs, posters on walls);"Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";"An 18-year-old girl named Amelia feeling overwhelmed at the Student Union. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The Student Union is a social area with tables and chairs, and posters on the walls. Mix of Comic Book and Impressionism art style; Primary Colors: Strong Red (#FF0000) - Dark Blue (#00008B) - Intense Black (#000000); Accent Colors: Light Grey (#D3D3D3) - White (#FFFFFF); 16:9 format";A [character age]-year-old [character description] feeling overwhelmed at the Student Union. They are wearing [clothes]. The Student Union has [environment details]. [Artstyle] art style.
