file;show;character;environment;artstyle;description;prompt;;;;;
chapter_12.rpy;show amelia_returning_home;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - returning home);London Train Station (bustling);Semi-realistic;An 18-year-old girl named Amelia returning home. Amelia has fair skin, long brown hair, and blue eyes. The London Train Station is bustling. Semi-realistic art style.;A [character age]-year-old [character description] returning home. The London Train Station is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_hugging_parents;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - hugging parents);London Train Station (bustling);Semi-realistic;An 18-year-old girl named Amelia hugging her parents. Amelia has fair skin, long brown hair, and blue eyes. The London Train Station is bustling. Semi-realistic art style.;A [character age]-year-old [character description] hugging her parents. The London Train Station is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_smiling_happy;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling happily);London Train Station (bustling);Semi-realistic;An 18-year-old girl named Amelia smiling happily. Amelia has fair skin, long brown hair, and blue eyes. The London Train Station is bustling. Semi-realistic art style.;A [character age]-year-old [character description] smiling happily. The London Train Station is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show ella_running_to_amelia;Ella (18; fair skin; short red hair; running to Amelia);London Train Station (bustling);Semi-realistic;An 18-year-old girl named Ella running to Amelia. Ella has fair skin and short red hair. The London Train Station is bustling. Semi-realistic art style.;A [character age]-year-old [character description] running to Amelia. The London Train Station is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_and_ella_hugging;Amelia and Ella (18; fair skin; Amelia with long brown hair; Ella with short red hair; hugging);London Train Station (bustling);Semi-realistic;Two 18-year-old girls named Amelia and Ella hugging. Amelia has fair skin and long brown hair, and Ella has fair skin and short red hair. The London Train Station is bustling. Semi-realistic art style.;Two [character age]-year-old girls named Amelia and Ella hugging. Amelia has fair skin and long brown hair, and Ella has fair skin and short red hair. The London Train Station is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show car_ride_home;Amelia and Ella (18; fair skin; Amelia with long brown hair; Ella with short red hair; talking in car);Car (interior; driving home);Semi-realistic;Two 18-year-old girls named Amelia and Ella talking in a car. Amelia has fair skin and long brown hair, and Ella has fair skin and short red hair. The car interior shows they're driving home. Semi-realistic art style.;Two [character age]-year-old girls named Amelia and Ella talking in a car. Amelia has fair skin and long brown hair, and Ella has fair skin and short red hair. The car interior is [environment details]. [Artstyle] art style.
chapter_12.rpy;show amelia_in_living_room_with_family;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - with family);Living Room (cozy; filled with joy);Semi-realistic;An 18-year-old girl named Amelia with her family in a cozy living room filled with joy. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] with family in a cozy living room filled with joy. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_smiling_reflecting;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling and reflecting);Living Room (cozy; filled with joy);Semi-realistic;An 18-year-old girl named Amelia smiling and reflecting. Amelia has fair skin, long brown hair, and blue eyes. The living room is cozy and filled with joy. Semi-realistic art style.;A [character age]-year-old [character description] smiling and reflecting. The living room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_nodding_smile;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - nodding and smiling);Living Room (cozy; filled with joy);Semi-realistic;An 18-year-old girl named Amelia nodding and smiling. Amelia has fair skin, long brown hair, and blue eyes. The living room is cozy and filled with joy. Semi-realistic art style.;A [character age]-year-old [character description] nodding and smiling. The living room is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_blushing;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - blushing);Living Room (cozy; filled with joy);Semi-realistic;An 18-year-old girl named Amelia blushing. Amelia has fair skin, long brown hair, and blue eyes. The living room is cozy and filled with joy. Semi-realistic art style.;A [character age]-year-old [character description] blushing. The living room is [environment details]. [Artstyle] art style.;;;;
